Unnamed: 0,TIME_PERIOD,REF_AREA,HICP - Overall index (Monthly),HICP - Food & Beverages (Monthly),HICP - Housing & Electricity (Monthly)
0,2020-01,U2,1.4,1.7,0.6
1,2020-02,U2,1.2,1.8,0.2
2,2020-03,U2,0.7,2.3,-0.4
3,2020-04,U2,0.3,3.6,-1.0
4,2020-05,U2,0.1,3.4,-1.3
5,2020-06,U2,0.3,3.0,-1.1
6,2020-07,U2,0.4,1.6,-1.2
7,2020-08,U2,-0.2,1.2,-1.1
8,2020-09,U2,-0.3,1.4,-1.2
9,2020-10,U2,-0.3,1.7,-1.2
10,2020-11,U2,-0.3,1.5,-1.0
11,2020-12,U2,-0.3,0.9,-0.6
12,2021-01,U2,0.9,1.0,0.3
13,2021-02,U2,0.9,0.8,0.5
14,2021-03,U2,1.3,0.7,1.6
15,2021-04,U2,1.6,0.0,3.0
16,2021-05,U2,2.0,0.1,3.5
17,2021-06,U2,1.9,0.2,3.7
18,2021-07,U2,2.2,1.4,4.7
19,2021-08,U2,3.0,1.9,5.2
20,2021-09,U2,3.4,1.9,5.9
21,2021-10,U2,4.1,1.8,8.0
22,2021-11,U2,4.9,2.2,9.1
23,2021-12,U2,5.0,3.5,9.7
24,2022-01,U2,5.1,3.9,11.9
25,2022-02,U2,5.9,4.7,13.4
26,2022-03,U2,7.4,5.7,17.2
27,2022-04,U2,7.4,7.4,15.9
28,2022-05,U2,8.1,8.7,16.3
29,2022-06,U2,8.6,10.4,16.9
30,2022-07,U2,8.9,11.5,17.7
31,2022-08,U2,9.1,12.4,19.7
32,2022-09,U2,9.9,13.8,21.1
33,2022-10,U2,10.6,15.5,23.2
34,2022-11,U2,10.1,16.0,20.6
35,2022-12,U2,9.2,16.0,16.3
36,2023-01,U2,8.6,16.3,12.0
37,2023-02,U2,8.5,17.3,10.1
38,2023-03,U2,6.9,17.5,4.6
39,2023-04,U2,7.0,15.0,4.8
40,2023-05,U2,6.1,13.7,4.1
41,2023-06,U2,5.5,12.6,2.5
42,2023-07,U2,5.3,11.6,0.8
43,2023-08,U2,5.2,10.3,-0.7
44,2023-09,U2,4.3,9.1,-2.3
45,2023-10,U2,2.9,7.5,-6.1
46,2023-11,U2,2.4,6.9,-5.6
47,2023-12,U2,2.9,6.1,-2.8
48,2024-01,U2,2.8,5.4,-1.2
49,2024-02,U2,2.6,3.3,-0.4
50,2024-03,U2,2.4,2.0,0.6
51,2024-04,U2,2.4,2.2,0.9
52,2024-05,U2,2.6,2.0,1.0
53,2024-06,U2,2.5,1.8,1.7
54,2024-07,U2,2.6,1.6,2.6
55,2024-08,U2,2.2,1.7,2.0
56,2024-09,U2,1.7,1.7,1.8
57,2024-10,U2,2.0,2.2,2.0
58,2024-11,U2,2.2,2.0,2.7
59,2024-12,U2,2.4,1.9,2.9
60,2025-01,U2,2.5,1.6,3.1
61,2025-02,U2,2.3,2.2,2.7
62,2025-03,U2,2.2,2.6,2.9
63,2025-04,U2,2.2,2.7,2.3
64,2025-05,U2,1.9,2.9,2.2
65,2025-06,U2,2.0,2.9,1.9
66,2020-01,AT,2.2,1.2,2.9
67,2020-02,AT,2.2,1.9,2.6
68,2020-03,AT,1.6,1.9,2.2
69,2020-04,AT,1.5,2.7,2.0
70,2020-05,AT,0.6,1.4,1.8
71,2020-06,AT,1.1,2.8,2.0
72,2020-07,AT,1.8,2.6,2.1
73,2020-08,AT,1.4,2.3,2.0
74,2020-09,AT,1.2,2.8,2.0
75,2020-10,AT,1.1,2.7,1.8
76,2020-11,AT,1.1,2.7,1.8
77,2020-12,AT,1.0,2.9,1.9
78,2021-01,AT,1.1,-1.1,2.3
79,2021-02,AT,1.4,1.4,2.7
80,2021-03,AT,2.0,1.1,2.9
81,2021-04,AT,1.9,0.0,2.9
82,2021-05,AT,3.0,1.7,2.9
83,2021-06,AT,2.8,0.0,2.5
84,2021-07,AT,2.8,0.0,2.6
85,2021-08,AT,3.2,0.5,2.8
86,2021-09,AT,3.3,0.6,3.1
87,2021-10,AT,3.8,1.0,4.1
88,2021-11,AT,4.1,1.5,4.7
89,2021-12,AT,3.8,1.6,5.1
90,2022-01,AT,4.5,4.9,5.4
91,2022-02,AT,5.5,4.3,8.6
92,2022-03,AT,6.6,5.8,10.3
93,2022-04,AT,7.1,8.3,10.5
94,2022-05,AT,7.7,9.0,10.1
95,2022-06,AT,8.7,11.3,11.2
96,2022-07,AT,9.4,12.1,13.9
97,2022-08,AT,9.3,13.1,15.0
98,2022-09,AT,11.0,13.9,24.4
99,2022-10,AT,11.6,14.4,23.8
100,2022-11,AT,11.2,15.3,22.3
101,2022-12,AT,10.5,16.2,17.7
102,2023-01,AT,11.6,17.0,22.7
103,2023-02,AT,11.0,16.2,18.4
104,2023-03,AT,9.2,14.5,15.0
105,2023-04,AT,9.4,13.2,16.0
106,2023-05,AT,8.7,12.2,16.9
107,2023-06,AT,7.8,11.1,15.6
108,2023-07,AT,7.0,10.6,12.0
109,2023-08,AT,7.5,9.9,11.7
110,2023-09,AT,5.8,8.4,3.4
111,2023-10,AT,4.9,7.3,3.6
112,2023-11,AT,4.9,7.3,4.1
113,2023-12,AT,5.7,6.1,7.5
114,2024-01,AT,4.3,5.5,2.6
115,2024-02,AT,4.0,3.8,1.8
116,2024-03,AT,4.1,3.6,2.9
117,2024-04,AT,3.4,3.3,1.4
118,2024-05,AT,3.3,3.1,0.8
119,2024-06,AT,3.1,1.9,1.1
120,2024-07,AT,2.9,1.3,1.4
121,2024-08,AT,2.4,1.4,0.1
122,2024-09,AT,1.8,2.2,-0.4
123,2024-10,AT,1.8,2.7,-1.8
124,2024-11,AT,1.9,2.1,-1.6
125,2024-12,AT,2.1,1.6,-1.4
126,2025-01,AT,3.4,2.1,5.2
127,2025-02,AT,3.4,2.6,6.5
128,2025-03,AT,3.1,3.1,6.6
129,2025-04,AT,3.3,2.8,6.8
130,2025-05,AT,3.0,3.3,6.7
131,2025-06,AT,3.2,4.5,6.8
132,2020-01,BE,1.4,0.9,-0.4
133,2020-02,BE,1.0,1.7,-2.4
134,2020-03,BE,0.4,2.4,-4.1
135,2020-04,BE,0.0,3.3,-5.0
136,2020-05,BE,-0.2,3.6,-5.8
137,2020-06,BE,0.2,3.0,-4.2
138,2020-07,BE,1.7,3.3,-3.8
139,2020-08,BE,-0.9,3.2,-3.5
140,2020-09,BE,0.5,3.5,-4.0
141,2020-10,BE,0.4,3.2,-3.0
142,2020-11,BE,0.2,2.3,-3.0
143,2020-12,BE,0.4,1.6,-2.1
144,2021-01,BE,0.6,0.7,-1.0
145,2021-02,BE,0.3,-0.1,1.8
146,2021-03,BE,1.6,-0.7,4.3
147,2021-04,BE,2.1,-1.3,6.2
148,2021-05,BE,2.5,-1.5,7.9
149,2021-06,BE,2.6,-1.2,8.6
150,2021-07,BE,1.4,-1.1,10.7
151,2021-08,BE,4.7,-0.8,12.1
152,2021-09,BE,3.8,-0.7,13.1
153,2021-10,BE,5.4,-0.4,19.2
154,2021-11,BE,7.1,0.3,26.5
